customer_id,gender,education,marital_status,loyalty_card,enrollment_type,has_cancellation,clv,observed_months,active_months,total_flights,total_distance,avg_monthly_flights,avg_monthly_distance,total_points_accumulated,total_points_redeemed,redemption_months,has_lifecycle_flight_activity,has_lifecycle_points_redeemed,engagement_score,engagement_segment,value_segment,churn_status,months_to_cancellation,churn_probability,predicted_churn_010,risk_band
365346,Female,College,Single,Star,Standard,false,1898.01,24,15,41,67765,1.7083333333333333,2823.5416666666665,67765.0,862,2,true,true,74.6,Engaged,Low Value,not_churned,,0.0472007709264132,0,Low Risk
717100,Female,College,Single,Star,Standard,true,1898.68,24,15,47,79515,1.9583333333333333,3313.125,79515.0,1797,3,true,true,83.26,Highly Engaged,Low Value,churned,67,0.04980984507900991,0,Low Risk
345518,Male,College,Single,Star,Standard,false,1898.68,24,13,38,50573,1.5833333333333333,2107.2083333333335,50573.0,380,1,true,true,54.97,Engaged,Low Value,not_churned,,0.03624826232038825,0,Low Risk
990512,Male,College,Single,Star,Standard,false,1904.0,24,3,11,15851,0.4583333333333333,660.4583333333334,15851.0,0,0,true,false,16.57,Very Low Engagement,Low Value,not_churned,,0.06446287313986723,0,Low Risk
678284,Female,College,Single,Star,Standard,false,1918.12,24,16,32,39926,1.3333333333333333,1663.5833333333333,39926.0,1018,2,true,true,53.06,Engaged,Low Value,not_churned,,0.04217832082615521,0,Low Risk
702482,Female,College,Single,Star,Standard,false,1918.12,24,6,23,26057,0.9583333333333334,1085.7083333333333,26057.0,0,0,true,false,24.71,Very Low Engagement,Low Value,not_churned,,0.12491263916048095,1,Moderate Risk
932748,Male,College,Single,Star,Standard,true,1940.98,24,7,18,22394,0.75,933.0833333333334,22394.0,451,1,true,true,23.43,Very Low Engagement,Low Value,churned,8,0.08652223725102491,0,Low Risk
526508,Male,College,Single,Star,Standard,false,1940.98,24,13,37,52647,1.5416666666666667,2193.625,52647.0,447,1,true,true,55.21,Engaged,Low Value,not_churned,,0.06619792336582818,0,Low Risk
748019,Male,College,Single,Star,Standard,false,1994.77,24,18,58,94237,2.4166666666666665,3926.5416666666665,94237.0,1068,2,true,true,96.26,Highly Engaged,Low Value,not_churned,,0.040342827543395736,0,Low Risk
574302,Male,College,Divorced,Star,Standard,false,2004.35,24,8,21,33119,0.875,1379.9583333333333,33119.0,498,1,true,true,27.6,Low Engagement,Low Value,not_churned,,0.04150413084855818,0,Low Risk
401956,Female,College,Divorced,Star,Standard,true,2004.35,24,11,29,41219,1.2083333333333333,1717.4583333333333,41219.0,516,1,true,true,37.4,Low Engagement,Low Value,churned,22,0.08053070885537117,0,Low Risk
399379,Male,College,Divorced,Star,Standard,false,2004.35,24,12,31,47374,1.2916666666666667,1973.9166666666667,47374.0,1419,2,true,true,43.78,Low Engagement,Low Value,not_churned,,0.0671052237440304,0,Low Risk
880033,Male,College,Divorced,Star,Standard,false,2004.35,24,15,38,67149,1.5833333333333333,2797.875,67149.0,1774,3,true,true,71.19,Engaged,Low Value,not_churned,,0.05184770669338602,0,Low Risk
424837,Male,College,Divorced,Star,Standard,false,2004.35,24,15,42,68596,1.75,2858.1666666666665,68596.0,1149,2,true,true,75.97,Highly Engaged,Low Value,not_churned,,0.06985778065567824,0,Low Risk
924787,Male,College,Divorced,Star,Standard,true,2004.35,24,13,45,71174,1.875,2965.5833333333335,71174.0,537,1,true,true,73.2,Engaged,Low Value,churned,33,0.08112633972675849,0,Low Risk
142290,Male,College,Divorced,Star,2018 Promotion,false,2004.35,11,6,55,70323,5.0,6393.0,105484.5,0,0,true,false,68.23,Engaged,Low Value,not_churned,,0.062614895184785,0,Low Risk
573897,Male,College,Divorced,Star,Standard,false,2004.35,24,18,47,72363,1.9583333333333333,3015.125,72363.0,1018,2,true,true,89.35,Highly Engaged,Low Value,not_churned,,0.060957004991264545,0,Low Risk
260714,Male,College,Divorced,Star,Standard,false,2004.35,24,17,53,77964,2.2083333333333335,3248.5,77964.0,1402,3,true,true,91.72,Highly Engaged,Low Value,not_churned,,0.08365340895065622,0,Low Risk
637721,Female,College,Divorced,Star,Standard,false,2004.35,24,14,42,71216,1.75,2967.3333333333335,71216.0,0,0,true,false,73.78,Engaged,Low Value,not_churned,,0.06800384842685964,0,Low Risk
