cohort_month,months_since_cohort,cohort_size,active_customers,retention_rate,inactive_customers
2017-01-01 00:00:00,0,188,7,3.72,181
2017-01-01 00:00:00,1,188,117,62.23,71
2017-01-01 00:00:00,2,188,117,62.23,71
2017-01-01 00:00:00,3,188,104,55.32,84
2017-01-01 00:00:00,4,188,114,60.64,74
2017-01-01 00:00:00,5,188,119,63.3,69
2017-01-01 00:00:00,6,188,110,58.51,78
2017-01-01 00:00:00,7,188,115,61.17,73
2017-01-01 00:00:00,8,188,110,58.51,78
2017-01-01 00:00:00,9,188,99,52.66,89
2017-01-01 00:00:00,10,188,87,46.28,101
2017-01-01 00:00:00,11,188,92,48.94,96
2017-02-01 00:00:00,0,196,4,2.04,192
2017-02-01 00:00:00,1,196,118,60.2,78
2017-02-01 00:00:00,2,196,124,63.27,72
2017-02-01 00:00:00,3,196,121,61.73,75
2017-02-01 00:00:00,4,196,112,57.14,84
2017-02-01 00:00:00,5,196,120,61.22,76
2017-02-01 00:00:00,6,196,135,68.88,61
2017-02-01 00:00:00,7,196,114,58.16,82
2017-02-01 00:00:00,8,196,102,52.04,94
2017-02-01 00:00:00,9,196,102,52.04,94
2017-02-01 00:00:00,10,196,116,59.18,80
2017-02-01 00:00:00,11,196,105,53.57,91
2017-03-01 00:00:00,0,237,33,13.92,204
2017-03-01 00:00:00,1,237,122,51.48,115
2017-03-01 00:00:00,2,237,140,59.07,97
2017-03-01 00:00:00,3,237,147,62.03,90
2017-03-01 00:00:00,4,237,156,65.82,81
2017-03-01 00:00:00,5,237,141,59.49,96
2017-03-01 00:00:00,6,237,128,54.01,109
2017-03-01 00:00:00,7,237,144,60.76,93
2017-03-01 00:00:00,8,237,135,56.96,102
2017-03-01 00:00:00,9,237,125,52.74,112
2017-03-01 00:00:00,10,237,123,51.9,114
2017-03-01 00:00:00,11,237,118,49.79,119
2017-04-01 00:00:00,0,196,5,2.55,191
2017-04-01 00:00:00,1,196,114,58.16,82
2017-04-01 00:00:00,2,196,117,59.69,79
2017-04-01 00:00:00,3,196,124,63.27,72
2017-04-01 00:00:00,4,196,122,62.24,74
2017-04-01 00:00:00,5,196,113,57.65,83
2017-04-01 00:00:00,6,196,118,60.2,78
2017-04-01 00:00:00,7,196,121,61.73,75
2017-04-01 00:00:00,8,196,105,53.57,91
2017-04-01 00:00:00,9,196,93,47.45,103
2017-04-01 00:00:00,10,196,96,48.98,100
2017-04-01 00:00:00,11,196,102,52.04,94
2017-05-01 00:00:00,0,231,28,12.12,203
2017-05-01 00:00:00,1,231,140,60.61,91
2017-05-01 00:00:00,2,231,143,61.9,88
2017-05-01 00:00:00,3,231,131,56.71,100
2017-05-01 00:00:00,4,231,124,53.68,107
2017-05-01 00:00:00,5,231,127,54.98,104
2017-05-01 00:00:00,6,231,139,60.17,92
2017-05-01 00:00:00,7,231,133,57.58,98
2017-05-01 00:00:00,8,231,134,58.01,97
2017-05-01 00:00:00,9,231,115,49.78,116
2017-05-01 00:00:00,10,231,108,46.75,123
2017-05-01 00:00:00,11,231,102,44.16,129
2017-06-01 00:00:00,0,200,5,2.5,195
2017-06-01 00:00:00,1,200,132,66.0,68
2017-06-01 00:00:00,2,200,116,58.0,84
2017-06-01 00:00:00,3,200,108,54.0,92
2017-06-01 00:00:00,4,200,106,53.0,94
2017-06-01 00:00:00,5,200,103,51.5,97
2017-06-01 00:00:00,6,200,132,66.0,68
2017-06-01 00:00:00,7,200,118,59.0,82
2017-06-01 00:00:00,8,200,100,50.0,100
2017-06-01 00:00:00,9,200,111,55.5,89
2017-06-01 00:00:00,10,200,111,55.5,89
2017-06-01 00:00:00,11,200,101,50.5,99
2017-07-01 00:00:00,0,217,1,0.46,216
2017-07-01 00:00:00,1,217,137,63.13,80
2017-07-01 00:00:00,2,217,121,55.76,96
2017-07-01 00:00:00,3,217,132,60.83,85
2017-07-01 00:00:00,4,217,114,52.53,103
2017-07-01 00:00:00,5,217,137,63.13,80
2017-07-01 00:00:00,6,217,133,61.29,84
2017-07-01 00:00:00,7,217,111,51.15,106
2017-07-01 00:00:00,8,217,125,57.6,92
2017-07-01 00:00:00,9,217,118,54.38,99
2017-07-01 00:00:00,10,217,122,56.22,95
2017-07-01 00:00:00,11,217,115,53.0,102
2017-08-01 00:00:00,0,208,3,1.44,205
2017-08-01 00:00:00,1,208,120,57.69,88
2017-08-01 00:00:00,2,208,126,60.58,82
2017-08-01 00:00:00,3,208,126,60.58,82
2017-08-01 00:00:00,4,208,137,65.87,71
2017-08-01 00:00:00,5,208,132,63.46,76
2017-08-01 00:00:00,6,208,117,56.25,91
2017-08-01 00:00:00,7,208,124,59.62,84
2017-08-01 00:00:00,8,208,116,55.77,92
2017-08-01 00:00:00,9,208,119,57.21,89
2017-08-01 00:00:00,10,208,102,49.04,106
2017-08-01 00:00:00,11,208,116,55.77,92
2017-09-01 00:00:00,0,210,4,1.9,206
2017-09-01 00:00:00,1,210,120,57.14,90
2017-09-01 00:00:00,2,210,107,50.95,103
2017-09-01 00:00:00,3,210,125,59.52,85
2017-09-01 00:00:00,4,210,115,54.76,95
2017-09-01 00:00:00,5,210,122,58.1,88
2017-09-01 00:00:00,6,210,125,59.52,85
2017-09-01 00:00:00,7,210,122,58.1,88
2017-09-01 00:00:00,8,210,133,63.33,77
2017-09-01 00:00:00,9,210,108,51.43,102
2017-09-01 00:00:00,10,210,129,61.43,81
2017-09-01 00:00:00,11,210,116,55.24,94
2017-10-01 00:00:00,0,206,4,1.94,202
2017-10-01 00:00:00,1,206,129,62.62,77
2017-10-01 00:00:00,2,206,122,59.22,84
2017-10-01 00:00:00,3,206,128,62.14,78
2017-10-01 00:00:00,4,206,128,62.14,78
2017-10-01 00:00:00,5,206,141,68.45,65
2017-10-01 00:00:00,6,206,121,58.74,85
2017-10-01 00:00:00,7,206,118,57.28,88
2017-10-01 00:00:00,8,206,118,57.28,88
2017-10-01 00:00:00,9,206,105,50.97,101
2017-10-01 00:00:00,10,206,105,50.97,101
2017-10-01 00:00:00,11,206,102,49.51,104
2017-11-01 00:00:00,0,191,3,1.57,188
2017-11-01 00:00:00,1,191,118,61.78,73
2017-11-01 00:00:00,2,191,114,59.69,77
2017-11-01 00:00:00,3,191,111,58.12,80
2017-11-01 00:00:00,4,191,118,61.78,73
2017-11-01 00:00:00,5,191,108,56.54,83
2017-11-01 00:00:00,6,191,125,65.45,66
2017-11-01 00:00:00,7,191,106,55.5,85
2017-11-01 00:00:00,8,191,109,57.07,82
2017-11-01 00:00:00,9,191,98,51.31,93
2017-11-01 00:00:00,10,191,104,54.45,87
2017-11-01 00:00:00,11,191,96,50.26,95
2017-12-01 00:00:00,0,207,4,1.93,203
2017-12-01 00:00:00,1,207,123,59.42,84
2017-12-01 00:00:00,2,207,106,51.21,101
2017-12-01 00:00:00,3,207,131,63.29,76
2017-12-01 00:00:00,4,207,118,57.0,89
2017-12-01 00:00:00,5,207,122,58.94,85
2017-12-01 00:00:00,6,207,135,65.22,72
2017-12-01 00:00:00,7,207,140,67.63,67
2017-12-01 00:00:00,8,207,124,59.9,83
2017-12-01 00:00:00,9,207,107,51.69,100
2017-12-01 00:00:00,10,207,96,46.38,111
2017-12-01 00:00:00,11,207,95,45.89,112
